,ID,Station Name,Total Docks,Docks in Service,Status,Latitude,Longitude,Location,community_area
848,92,Carpenter St & Huron St,19,19,In Service,41.894556,-87.653449,"(41.894556, -87.653449)",WEST_TOWN
849,213,Leavitt St & North Ave,15,15,In Service,41.910509367,-87.682389021,"(41.91050936666395, -87.6823890209198)",WEST_TOWN
850,591,Kilbourn Ave & Milwaukee Ave,15,15,In Service,41.947070894,-87.740008235,"(41.94707089418471, -87.74000823497772)",IRVING_PARK
851,625,Dodge Ave & Main St,15,15,In Service,42.034631852,-87.699187696,"(42.03463185161588, -87.69918769598006)",Not Found
852,86,Eckhart Park,19,19,In Service,41.89637337,-87.66098386,"(41.89637337, -87.66098386)",WEST_TOWN
853,295,Broadway & Argyle St,19,19,In Service,41.973815,-87.65966,"(41.973815, -87.65966)",UPTOWN
854,475,Washtenaw Ave & Lawrence Ave,15,15,In Service,41.968987,-87.696027,"(41.968987, -87.696027)",LINCOLN_SQUARE
855,574,Vernon Ave & 79th St,11,11,In Service,41.75094,-87.61379,"(41.75094, -87.61379)",CHATHAM
856,329,DuSable Lake Shore Dr & Diversey Pkwy,23,23,In Service,41.932588,-87.636427,"(41.932588, -87.636427)",LINCOLN_PARK
857,274,Racine Ave & 15th St,15,15,In Service,41.861267,-87.656625,"(41.861267, -87.656625)",NEAR_WEST_SIDE
858,21,Aberdeen St & Jackson Blvd,23,23,In Service,41.87772613,-87.65478743,"(41.87772613, -87.65478743)",NEAR_WEST_SIDE
859,214,Damen Ave & Grand Ave,23,23,In Service,41.892394453,-87.676885128,"(41.892394452962705, -87.67688512802124)",WEST_TOWN
860,52,Michigan Ave & Lake St,35,35,In Service,41.886024,-87.624117,"(41.886024, -87.624117)",LOOP
861,604,Sheridan Rd & Noyes St (NU),15,15,In Service,42.058239,-87.677432,"(42.058239, -87.677432)",Not Found
862,262,Halsted St & 37th St,11,11,In Service,41.827059,-87.64572,"(41.827059, -87.64572)",BRIDGEPORT
863,244,Ravenswood Ave & Irving Park Rd,19,19,In Service,41.95469,-87.67393,"(41.95469, -87.67393)",NORTH_CENTER
864,550,Central Ave & Chicago Ave,11,11,In Service,41.894958,-87.764902,"(41.894958, -87.764902)",AUSTIN
865,666,Cherry Ave & Blackhawk St,15,15,In Service,41.907221,-87.655618,"(41.907221, -87.655618)",NEAR_NORTH_SIDE
866,657,Wood St & Augusta Blvd,15,15,In Service,41.899181,-87.6722,"(41.899181, -87.6722)",WEST_TOWN
867,198,Green St & Madison St,27,27,In Service,41.881892,-87.648789,"(41.881892, -87.648789)",NEAR_WEST_SIDE
868,177,Theater on the Lake,31,31,In Service,41.926277,-87.630834,"(41.926277, -87.630834)",LINCOLN_PARK
869,470,Kedzie Ave & Foster Ave,11,11,In Service,41.975672,-87.709261,"(41.975672, -87.709261)",NORTH_PARK
870,586,MLK Jr Dr & 83rd St,11,11,In Service,41.743116,-87.6148,"(41.743116, -87.6148)",CHATHAM
871,190,Southport Ave & Wrightwood Ave,15,15,In Service,41.928773,-87.663913,"(41.928773, -87.663913)",LINCOLN_PARK
872,238,Wolcott (Ravenswood) Ave & Montrose Ave,15,15,In Service,41.961406,-87.676169,"(41.961406, -87.676169)",NORTH_CENTER
873,277,Ashland Ave & Grand Ave,15,15,In Service,41.891072,-87.666611,"(41.891072, -87.666611)",WEST_TOWN
874,590,Kilbourn Ave & Irving Park Rd,11,11,In Service,41.953733,-87.740569,"(41.953733, -87.740569)",IRVING_PARK
875,165,Clark St & Grace St,23,23,In Service,41.95078,-87.659172,"(41.95078, -87.659172)",LAKE_VIEW
876,528,Pulaski Rd & Lake St,11,11,In Service,41.885409,-87.726491,"(41.885409, -87.726491)",WEST_GARFIELD_PARK
877,59,Wabash Ave & Roosevelt Rd,23,23,In Service,41.867227,-87.625961,"(41.867227, -87.625961)",NEAR_SOUTH_SIDE
878,321,Wabash Ave & 9th St,19,19,In Service,41.870769,-87.625734,"(41.870769, -87.625734)",LOOP
879,313,Lakeview Ave & Fullerton Pkwy,19,19,In Service,41.925858,-87.638973,"(41.925858, -87.638973)",LINCOLN_PARK
880,588,South Chicago Ave & 83rd St,11,11,In Service,41.743921,-87.575225,"(41.743921, -87.575225)",AVALON_PARK
881,47,State St & Kinzie St,31,31,In Service,41.889375467,-87.627076507,"(41.889375466631684, -87.62707650661469)",NEAR_NORTH_SIDE
882,111,Sedgwick St & Huron St,27,27,In Service,41.894666,-87.638437,"(41.894666, -87.638437)",NEAR_NORTH_SIDE
883,247,Shore Dr & 55th St,19,19,In Service,41.795212,-87.580715,"(41.795212, -87.580715)",HYDE_PARK
884,405,Wentworth Ave & 35th St,15,15,In Service,41.830777,-87.632504,"(41.830777, -87.632504)",ARMOUR_SQUARE
885,568,Vincennes Ave & 75th St,7,7,In Service,41.75797,-87.63121,"(41.75797, -87.63121)",GREATER_GRAND_CROSSING
886,136,Racine Ave & 13th St,15,15,In Service,41.865054,-87.656959,"(41.865054, -87.656959)",NEAR_WEST_SIDE
887,191,Canal St & Monroe St,27,27,In Service,41.88169,-87.63953,"(41.88169, -87.63953)",NEAR_WEST_SIDE
888,18,Wacker Dr & Washington St,15,15,In Service,41.883143364,-87.637242079,"(41.88314336439022, -87.63724207878113)",LOOP
889,257,Lincoln Ave & Waveland Ave,15,15,In Service,41.948797,-87.675278,"(41.948797, -87.675278)",NORTH_CENTER
890,218,Wells St & 19th St,11,11,In Service,41.856802,-87.633879,"(41.856802, -87.633879)",ARMOUR_SQUARE
891,230,Wood St & Webster Ave,19,19,In Service,41.92105673,-87.672797441,"(41.92105672992757, -87.67279744148254)",LOGAN_SQUARE
892,351,Cottage Grove Ave & 51st St,15,15,In Service,41.803038,-87.606615,"(41.803038, -87.606615)",GRAND_BOULEVARD
893,293,Broadway & Wilson - Truman College Vaccination Site,23,23,In Service,41.965221,-87.658139,"(41.965221, -87.658139)",UPTOWN
894,281,Western Ave & 24th St,7,7,In Service,41.84847,-87.685109,"(41.84847, -87.685109)",LOWER_WEST_SIDE
895,575,Cottage Grove Ave & 78th St,11,11,In Service,41.753174,-87.605026,"(41.753174, -87.605026)",GREATER_GRAND_CROSSING
896,167,Damen Ave & Coulter St,7,7,In Service,41.8492,-87.67564,"(41.8492, -87.67564)",LOWER_WEST_SIDE
897,261,Hermitage Ave & Polk St,15,15,In Service,41.871514,-87.669886,"(41.871514, -87.669886)",NEAR_WEST_SIDE
898,164,Franklin St & Lake St,27,27,In Service,41.885837,-87.6355,"(41.885837, -87.6355)",LOOP
899,558,Ashland Ave & Garfield Blvd,11,11,In Service,41.792822,-87.664429,"(41.792822, -87.664429)",WEST_ENGLEWOOD
900,564,Racine Ave & 65th St,11,11,In Service,41.775393,-87.654308,"(41.775393, -87.654308)",ENGLEWOOD
901,113,Sheridan Rd & Argyle St,15,15,In Service,41.97328682,-87.654759586,"(41.97328682025979, -87.65475958585739)",UPTOWN
902,116,Western Ave & Winnebago Ave,15,15,In Service,41.91552,-87.687022,"(41.91552, -87.687022)",LOGAN_SQUARE
903,529,Cicero Ave & Lake St,11,11,In Service,41.886841,-87.745261,"(41.886841, -87.745261)",AUSTIN
