the_geom,SYSTEMSTOP,STREET,CROSS_ST,DIR,POS,ROUTESSTPG,OWLROUTES,CITY,PUBLIC_NAM
POINT (-87.723983992 41.93906153199998),9270,BELMONT,MILWAUKEE,EB,NS,77,N77,CHICAGO,Belmont & Milwaukee
POINT (-87.55133963100002 41.72818417399998),7252,92ND STREET,COMMERCIAL,EB,NS,"30,9E",,CHICAGO,92nd Street & Commercial
POINT (-87.64995659800002 41.78689578299998),12986,59TH STREET,MORGAN,EB,NS,59,,CHICAGO,59th Street & Morgan
POINT (-87.66222177899999 41.876498454),17041,VAN BUREN,LOOMIS,WB,FS,126,,CHICAGO,Van Buren & Loomis
POINT (-87.65408182499999 41.76876503400001),10102,69TH STREET,RACINE,WB,NS,67,,CHICAGO,69th Street & Racine
POINT (-87.795891896 41.94551493300003),12616,ADDISON,OAK PARK,WB,NS,152,,CHICAGO,Addison & Oak Park
POINT (-87.69402323999998 41.80835224600003),8095,47TH STREET,CALIFORNIA,WB,NS,"47,94",,CHICAGO,47th Street & California
POINT (-87.71743828400002 41.84440238399998),14849,26TH STREET,LAWNDALE,WB,FS,60,N60,CHICAGO,26th Street & Lawndale
POINT (-87.58740256800002 41.799260964999974),17646,LAKE PARK,53RD STREET,SB,FS,"15,28,192",,CHICAGO,Lake Park & 53rd Street
POINT (-87.70637538199998 41.881023691999985),14840,MADISON,KEDZIE,WB,FS,20,N20,CHICAGO,Madison & Kedzie
POINT (-87.640902589 41.82359157799999),7763,PERSHING,WALLACE,WB,NS,39,,CHICAGO,Pershing & Wallace
POINT (-87.78880598400002 41.95296600099999),5735,IRVING PARK,NATCHEZ,WB,NT,80,,CHICAGO,Irving Park & Natchez
POINT (-87.55936198699999 41.702846867999995),12275,106TH STREET,TORRENCE,WB,NS,"26,100",,CHICAGO,106th Street & Torrence
POINT (-87.68731082300002 41.89581165499999),15203,CHICAGO,WESTERN,WB,FS,66,N66,CHICAGO,Chicago & Western
POINT (-87.70120129899999 41.88652148699998),4216,FULTON,SACRAMENTO,WB,NS,94,,CHICAGO,Fulton & Sacramento
POINT (-87.75003880399998 41.880552024999986),498,MADISON,LAVERGNE (west leg),WB,NS,20,N20,CHICAGO,Madison & Lavergne
POINT (-87.58036299999998 41.737055),9467,87TH STREET,CREGIER,WB,NS,87,,CHICAGO,87th Street & Cregier
POINT (-87.71231455200001 41.910154913999975),14832,NORTH AVENUE,KIMBALL/HOMAN,WB,FS,72,,CHICAGO,North Ave & Kimball/Homan
POINT (-87.81638679399998 41.93801370599999),9354,BELMONT,ORIOLE,WB,NS,77,,CHICAGO,Belmont & Oriole (76th Avenue)
POINT (-87.67987548299999 41.706450183000015),12193,103RD STREET,OAKLEY (west leg),WB,NS,103,,CHICAGO,103rd Street & Oakley
POINT (-87.76154548599999 41.876612118000025),148,JACKSON,LOTUS,WB,FS,126,,CHICAGO,Jackson & Lotus
POINT (-87.66612529100001 42.00917097500002),12061,LUNT,GLENWOOD (west leg),WB,NS,96,,CHICAGO,Lunt & Glenwood
POINT (-87.71966300100001 41.76415700000001),10128,71ST STREET,SPRINGFIELD,WB,NS,67,,CHICAGO,71st Street & Springfield
POINT (-87.722299249 41.858961548000025),6836,16TH STREET,SPRINGFIELD,WB,NS,18,,CHICAGO,16th Street & Springfield
POINT (-87.74751849900002 41.880570589),497,MADISON,LAMON,WB,NS,20,N20,CHICAGO,Madison & Lamon
POINT (-87.680306686 41.67714069800002),15819,119TH STREET,WESTERN,EB,FS,119,,BLUE ISLAND,119th Street & Western
POINT (-87.65854774000002 41.706804284999976),12182,103RD STREET,CHARLES,WB,NS,103,,CHICAGO,103rd Street & Charles
POINT (-87.69890400000003 41.97756900000002),11898,CALIFORNIA,BERWYN,NB,NS,93,,CHICAGO,California & Berwyn
POINT (-87.584424463 41.80084654799998),1522,S HYDE PARK,5200 SOUTH,NB,MB,"6,28",,CHICAGO,5200 S S Hyde Park
POINT (-87.654512571 41.783166669000025),5068,RACINE,61ST STREET,NB,NS,44,,CHICAGO,Racine & 61st Street
POINT (-87.69908951899998 42.03557742999999),14368,DODGE,LEE,NB,NS,"93,206",,EVANSTON,Dodge & Lee
POINT (-87.72427598299998 41.85369869200002),9074,PULASKI,PINK LINE STATION,NB,MB,"53,157",,CHICAGO,Pulaski Pink Line Station
POINT (-87.67391666100002 41.832565414999976),4435,ARCHER,34TH STREET,NEB,NS,62,N62,CHICAGO,Archer & 34th Street
POINT (-87.74755099999999 42.03160100100001),10460,SKOKIE BLVD,MADISON,SB,NT,54A,,SKOKIE,Skokie Blvd & Madison
POINT (-87.66561518100002 41.68824859799997),2868,VINCENNES,MONTVALE,NEB,NS,111,,CHICAGO,Vincennes & Montvale
POINT (-87.70358439699999 41.79178515699999),3091,KEDZIE,56TH STREET,SB,NS,"52,52A",,CHICAGO,Kedzie & 56th Street
POINT (-87.64950930999998 41.68493494500001),2940,115TH STREET,ABERDEEN,EB,NS,115,,CHICAGO,115th Street & Aberdeen
POINT (-87.701566592 41.808100954),8147,47TH STREET,ALBANY,EB,NT,47,,CHICAGO,47th Street & Albany
POINT (-87.65665745000001 41.939799806999986),9287,BELMONT,SEMINARY,EB,NS,77,N77,CHICAGO,Belmont & Seminary
POINT (-87.79822000000001 41.93806000000001),9239,BELMONT,NEW ENGLAND,EB,NS,77,N77,CHICAGO,Belmont & New England
POINT (-87.654941936 41.79338522900002),5168,RACINE,GARFIELD,SB,FS,44,,CHICAGO,Racine & Garfield
POINT (-87.58795199899998 41.72220399999998),11935,95TH STREET,1500 EAST (BLACKSTONE),EB,NS,"N5,95,100",N5,CHICAGO,1500 E 95th Street
POINT (-87.741798636 41.916927276000024),4033,ARMITAGE,4600 WEST,EB,MB,73,,CHICAGO,4600 W Armitage
POINT (-87.71932437999999 41.91719359000001),4043,ARMITAGE,LAWNDALE,EB,NS,73,,CHICAGO,Armitage & Lawndale
POINT (-87.711318 41.893587000000025),11245,HOMAN,HURON,NB,NS,82,,CHICAGO,Homan & Huron
POINT (-87.632052999 41.75078300000001),2770,79TH STREET,PRINCETON,EB,NS,"8A,24,79",N79,CHICAGO,79th Street & Princeton
POINT (-87.77200467900002 41.96047938800001),11413,MONTROSE,MENARD,WB,NS,78,,CHICAGO,Montrose & Menard
POINT (-87.69600100000002 41.69169699999998),12374,111TH STREET,SACRAMENTO,WB,NT,112,,CHICAGO,111th Street & Sacramento
POINT (-87.63119700099998 41.721738000000016),3455,95TH STREET,PRINCETON,WB,MT,"N9,95,108,112",N9,CHICAGO,95th Street & Princeton
POINT (-87.795877066 41.777488554),4681,63RD STREET,SAYRE,WB,NS,63W,,CHICAGO,63rd Street & Sayre
POINT (-87.73392743199997 41.75434143899997),15935,76TH STREET,FORD CITY AMC Movie Theatre,WB,MB,"54B,79",,CHICAGO,76th Street & Ford City Movie Theatre
POINT (-87.75766652300001 41.85169529299998),14193,54TH AVE/CERMAK,PINK LINE TERMINAL,WB,TERM,"21,N60",N60,CICERO,54th/Cermak Pink Line Station
POINT (-87.72546824900002 42.064700190999986),12643,CENTRAL STREET,PROSPECT,WB,NS,"201,206",,EVANSTON,Central Street & Prospect
POINT (-87.723791678 41.734933007999985),9526,87TH STREET,KARLOV,WB,NS,87,,CHICAGO,87th Street & Karlov
POINT (-87.72370371900001 41.89535017100002),531,CHICAGO,SPRINGFIELD,EB,NS,66,N66,CHICAGO,Chicago & Springfield
POINT (-87.740787044 41.95339719999998),16175,IRVING PARK,KILBOURN (west leg),EB,FS,"54A,80",,CHICAGO,Irving Park & Kilbourn
POINT (-87.54016531899998 41.672708692000015),7294,AVENUE O,12243 S. driveway,SB,MB,30,,CHICAGO,12243 S Avenue O
POINT (-87.67402389199998 41.87743988300002),52,JACKSON,1900 W.(MALCOLM X COLL.),EB,MB,126,,CHICAGO,Malcolm X College
POINT (-87.76818600000001 41.90204499999999),1973,DIVISION,WALLER,EB,NS,70,,CHICAGO,Division & Waller
POINT (-87.61601050899998 41.80235874300001),2151,KING DRIVE,51ST STREET,NB,FS,3,,CHICAGO,King Drive & 51st Street
POINT (-87.702703972 41.76454883700001),14941,KEDZIE,71ST STREET,NB,FS,52A,,CHICAGO,Kedzie & 71st Street
POINT (-87.66454744100002 41.797598902999994),6191,ASHLAND,53RD STREET,NB,NS,9,N9,CHICAGO,Ashland & 53rd Street
POINT (-87.56899700000002 41.737082000999976),9436,87TH STREET,ANTHONY,EB,NS,87,,CHICAGO,87th Street & Anthony
POINT (-87.73549587100001 41.87376434800001),165,HARRISON,KOSTNER,EB,NS,7,,CHICAGO,Harrison & Kostner
POINT (-87.66899046999998 41.877524403999985),54,JACKSON,PAULINA,EB,FS,126,,CHICAGO,Jackson & Paulina
POINT (-87.653146892 41.91076825900001),910,NORTH AVENUE,SHEFFIELD,EB,NS,"N9,72",N9,CHICAGO,North Ave & Sheffield
POINT (-87.791016577 41.952768972),5612,IRVING PARK,NEENAH,EB,NS,80,,CHICAGO,Irving Park & Neenah
POINT (-87.68602571999998 41.87748942100001),38,JACKSON,WESTERN,EB,FS,126,,CHICAGO,Jackson & Western
POINT (-87.66918661900002 41.793539607000014),10526,GARFIELD,WOOD,EB,FS,55,N55,CHICAGO,Garfield & Wood
POINT (-87.73174827899999 41.938925557999994),14635,BELMONT,KEELER,EB,FT,77,N77,CHICAGO,Belmont & Keeler
POINT (-87.73935 41.93156499999998),10993,DIVERSEY,KILBOURN,EB,NS,76,,CHICAGO,Diversey & Kilbourn
POINT (-87.68401681400002 41.93210515300001),11016,DIVERSEY,LOGAN,EB,NS,76,,CHICAGO,Diversey & Logan
POINT (-87.69729899999999 41.91742599999998),4055,ARMITAGE,CALIFORNIA,EB,NS,73,,CHICAGO,Armitage & California
POINT (-87.75400720900001 41.99142750200002),11509,CALDWELL,LEADER,NWB,NS,84,,CHICAGO,Caldwell & Leader
POINT (-87.72713148700001 41.933751857999994),9004,PULASKI,GEORGE,SB,NS,53,N53,CHICAGO,Pulaski & George
POINT (-87.69468478499999 41.819817091999994),4424,ARCHER,CALIFORNIA,NEB,NS,62,N62,CHICAGO,Archer & California
POINT (-87.804563675 41.980672932000004),9818,HIGGINS,MONTCLARE,NWB,NS,88,,CHICAGO,Higgins & Montclare
POINT (-87.74841199899998 41.99307700100002),10476,CICERO,HIAWATHA,SB,NS,54A,,CHICAGO,Cicero & Hiawatha
POINT (-87.800897798 41.774982335000004),14175,(old) HARLEM,64TH PLACE,SEB,TERM,"63W,165",,BEDFORD PARK,Harlem & 64th Place
POINT (-87.775849999 41.92572999999999),9580,AUSTIN,ALTGELD,SB,NS,91,,CHICAGO,Austin & Altgeld
POINT (-87.54807827000002 41.75003906400002),7062,S. SHORE DRIVE,80TH STREET,SB,FS,"N5,26,71",N5,CHICAGO,S. Shore Drive & 80th Street
POINT (-87.74704166700002 42.04774333300003),3582,SKOKIE BLVD,CHURCH,SB,FS,"54A,97",,SKOKIE,Skokie Blvd & Church
POINT (-87.67455070300002 41.79909567300001),8770,DAMEN,52ND STREET (south leg),SB,NS,48,,CHICAGO,Damen & 52nd Street
POINT (-87.76484800100002 41.87841100000003),11572,CENTRAL,ADAMS,SB,NT,85,,CHICAGO,Central & Adams
POINT (-87.649801803 41.955859281000016),4924,CLARENDON,CUYLER,SB,FS,"135,148",,CHICAGO,Clarendon & Cuyler
POINT (-87.654718 41.959340999999995),1053,SHERIDAN,4242 NORTH,SB,MB,151,,CHICAGO,4242 N Sheridan
POINT (-87.68669104899999 42.03286713),14261,RIDGE,WASHINGTON,SB,NS,"201,206",,EVANSTON,Ridge & Washington
POINT (-87.52709394200002 41.693691564999995),12251,AVENUE C,111TH STREET,SB,NS,100,,CHICAGO,Avenue C & 111th Street
POINT (-87.60655146699997 41.80420163500003),2552,COTTAGE GROVE,50TH STREET,SB,NS,4,N4,CHICAGO,Cottage Grove & 50th Street
POINT (-87.775610545 41.907274597000026),9590,AUSTIN,LE MOYNE,SB,FT,91,,OAK PARK,Austin & Le Moyne
POINT (-87.81338 42.000891000000024),9929,NORTHWEST HWY,OGALLAH (south leg),SEB,NS,68,,CHICAGO,Northwest Hwy & Ogallah
POINT (-87.62572800100003 41.745585000999995),2449,LAFAYETTE,82ND STREET,SB,NS,29,,CHICAGO,Lafayette & 82nd Street
POINT (-87.74211211099998 41.76444561400001),17173,CICERO,7100 SOUTH,SB,NS,54B,,BEDFORD PARK,7100 S Cicero
POINT (-87.65235403999998 41.844253950999985),4446,ARCHER,POPLAR,NEB,NS,62,N62,CHICAGO,Archer & Poplar
POINT (-87.69935238400001 42.03024403799998),14363,DODGE,CLEVELAND (north leg),SB,NS,"93,206",,EVANSTON,Dodge & Cleveland
POINT (-87.84155900000002 41.979314999999986),8597,DELPHIA,CATALPA,SB,NS,81W,,CHICAGO,Delphia & Catalpa
POINT (-87.71055399900001 41.86459500000001),4705,HOMAN,13TH STREET,SB,NT,82,,CHICAGO,Homan & 13th Street
POINT (-87.58394846700003 41.79350191399999),1655,S HYDE PARK,56TH STREET,SB,NS,"6,28,55",N55,CHICAGO,S Hyde Park & 56th Street
POINT (-87.76552899900003 41.896749),11561,CENTRAL,IOWA,SB,NS,85,,CHICAGO,Central & Iowa
POINT (-87.62037499899998 41.895127),584,FAIRBANKS,HURON,SB,NS,"3,66,120,121,157",N66,CHICAGO,Fairbanks & Huron
POINT (-87.677020718 41.890759789000015),725,GRAND,DAMEN,EB,NS,65,,CHICAGO,Grand & Damen
POINT (-87.74263699900001 41.98990400100001),11435,PETERSON,FOREST GLEN,EB,NS,84,,CHICAGO,Peterson & Forest Glen
POINT (-87.636557993 41.90389725599999),2041,DIVISION,300 WEST,WB,MB,70,,CHICAGO,300 W Division
POINT (-87.73015444800001 41.785922880999976),13092,59TH STREET,KILDARE,WB,NS,59,,CHICAGO,59th Street & Kildare
POINT (-87.79077767400003 41.773938665),3343,65TH STREET,OAK PARK,WB,NS,165,,CHICAGO,65th Street & Oak Park
POINT (-87.62993799999998 41.774418000000026),6451,WENTWORTH,66TH STREET,NB,NS,24,,CHICAGO,Wentworth & 66th Street
POINT (-87.72712907200003 42.064669675000005),12702,CENTRAL STREET,CRAWFORD,WB,NS,"201,206",,EVANSTON,Central Street & Crawford
POINT (-87.774373405 41.793963123000026),4529,ARCHER,MEADE,SWB,NS,"62,62H",,CHICAGO,Archer & Meade
POINT (-87.62913099999997 41.87474300100001),1876,DEARBORN,HARRISON,NB,FS,"22,24,62","N22,N62",CHICAGO,Dearborn & Harrison
POINT (-87.647078249 41.86675062400002),17366,HALSTED,ROOSEVELT,SB,FS,"8,18,N62",N62,CHICAGO,Halsted & Roosevelt
POINT (-87.73229410800002 41.94623760000002),12509,ADDISON,KEELER,EB,NS,152,,CHICAGO,Addison & Keeler
POINT (-87.61816628899999 41.68528730000003),2953,115TH STREET,INDIANA,EB,NS,115,,CHICAGO,115th Street & Indiana
POINT (-87.62980399999998 41.903981999999985),5394,DIVISION,DEARBORN,WB,NS,36,,CHICAGO,Division & Dearborn
POINT (-87.65307965099998 41.867167197000015),334,ROOSEVELT,BLUE ISLAND,WB,NT,12,,CHICAGO,Roosevelt & Blue Island
POINT (-87.66953420099998 41.80131723699998),9208,51ST STREET,WOOD,WB,NS,51,,CHICAGO,51st Street & Wood
POINT (-87.61663670000002 41.823913197000024),7750,PERSHING,KING DRIVE,WB,NS,39,,CHICAGO,Pershing & King Drive
POINT (-87.70086458999998 41.924872531000005),14589,FULLERTON,MILWAUKEE,WB,FS,74,,CHICAGO,Fullerton & Milwaukee
POINT (-87.78072506699999 41.921562300000005),15335,GRAND,MELVINA,WB,FS,65,,CHICAGO,Grand & Melvina
POINT (-87.66875099999999 41.85770400000001),6762,18TH STREET,PAULINA,EB,NS,18,,CHICAGO,18th Street & Paulina (Pink Line)
POINT (-87.69148757900001 41.968500455000026),3755,LAWRENCE,CAMPBELL,EB,NS,81,N81,CHICAGO,Lawrence & Campbell
POINT (-87.736699547 41.73443692500001),9365,87TH STREET,KENTON (west leg),EB,NS,87,,HOMETOWN,87th Street & Kenton
POINT (-87.69710619799997 41.73516925400003),9380,87TH STREET,SACRAMENTO (east leg),EB,NS,87,,EVERGREEN PARK,87th Street & Sacramento
POINT (-87.68578999900001 41.764598999999976),10146,71ST STREET,CAMPBELL,EB,NS,"67,94",,CHICAGO,71st Street & Campbell
POINT (-87.754673916 41.86564858899999),260,ROOSEVELT,LARAMIE,EB,NS,12,,CICERO,Roosevelt & Laramie
POINT (-87.710841001 41.87370299999998),11180,HOMAN,HARRISON,SB,NS,82,,CHICAGO,Homan & Harrison
POINT (-87.726847168 41.94084158800001),15213,MILWAUKEE,PULASKI,SEB,FS,56,,CHICAGO,Milwaukee & Pulaski
POINT (-87.63740500099999 41.900608999999974),6609,ORLEANS,OAK,SB,NS,37,,CHICAGO,Orleans & Oak
POINT (-87.67949793399998 41.975856932),8619,DAMEN,FOSTER,SB,FS,50,,CHICAGO,Damen & Foster
POINT (-87.76589062099998 41.91909699399997),15465,CENTRAL,GRAND,SB,NS,85,,CHICAGO,Central & Grand
POINT (-87.69922400000002 41.98319900000001),11886,CALIFORNIA,BRYN MAWR,SB,NS,93,,CHICAGO,California & Bryn Mawr
POINT (-87.58611576200002 41.77506990699999),5316,STONY ISLAND,MARQUETTE RD,NB,NS,"6,15,28",,CHICAGO,Stony Island & Marquette Rd
POINT (-87.72764166899998 41.957490775),17319,PULASKI,BERTEAU,NB,FS,53,,CHICAGO,Pulaski & Berteau
POINT (-87.585845189 41.76639889699999),14819,STONY ISLAND,71ST STREET,NB,FS,28,,CHICAGO,Stony Island & 71st Street
POINT (-87.62413299999997 41.89653499999997),1126,MICHIGAN,CHICAGO,NB,NS,"3,10,26,125",,CHICAGO,Michigan & Chicago
POINT (-87.77613399900002 41.93861399999997),9657,AUSTIN,BELMONT,NB,FS,91,,CHICAGO,Austin & Belmont
POINT (-87.68043724500001 41.85203914700003),15307,CERMAK,LEAVITT,EB,FS,21,,CHICAGO,Cermak & Leavitt
POINT (-87.64322378899999 41.82342192700003),15693,PERSHING,UNION,EB,FS,39,,CHICAGO,Pershing & Union
POINT (-87.66364199100002 41.75028932399999),2754,79TH STREET,ASHLAND,EB,NS,"79,169",N79,CHICAGO,79th Street & Ashland
POINT (-87.67575142499999 41.85230316799999),14489,DAMEN,CERMAK,NB,FS,50,,CHICAGO,Damen & Cermak
POINT (-87.67632527500001 42.01918516699999),14056,CLARK,HOWARD,SB,FS,"22,97,201,206",N22,CHICAGO,Clark & Howard
POINT (-87.74506329000002 41.87161395499999),10252,CICERO,BLUE LINE (FOREST PARK),SB,MB,54,,CHICAGO,Cicero Blue Line Station
POINT (-87.77484320999997 41.894925532),510,CHICAGO,AUSTIN,SB,TERM,66,,CHICAGO,Chicago & Austin Terminal
POINT (-87.57657822800002 41.77315423499999),5209,JEFFERY,67TH STREET,SB,FS,"J14,15",,CHICAGO,Jeffery & 67th Street
POINT (-87.64770865899999 41.891455554000004),5790,HALSTED,MILWAUKEE/GRAND,SB,NS,8,,CHICAGO,Halsted & Milwaukee/Grand (Blue Line)
POINT (-87.694736095 41.98304911499997),1494,LINCOLN,BRYN MAWR,NWB,NS,11,,CHICAGO,Lincoln & Bryn Mawr
POINT (-87.74767867000003 41.798059266999985),4517,ARCHER,LAVERGNE,SWB,NS,"62,62H",,CHICAGO,Archer & Lavergne
POINT (-87.664633149 41.79045553200001),6091,ASHLAND,57TH STREET,SB,NS,9,N9,CHICAGO,Ashland & 57th Street
POINT (-87.669172323 41.954090956000016),5995,ASHLAND,IRVING PARK,SB,FS,"9,X9",,CHICAGO,Ashland & Irving Park
POINT (-87.77410481599998 41.87632184300003),1,JACKSON,AUSTIN,NEB,TERM,126,,CHICAGO,Jackson & Austin Terminal
POINT (-87.63186891800001 41.91131123100001),1846,CLARK,NORTH AVENUE,SB,NS,"22,36",N22,CHICAGO,Clark & North Ave
POINT (-87.60667735599998 41.809648993999986),2549,COTTAGE GROVE,47TH STREET,SB,NS,4,N4,CHICAGO,Cottage Grove & 47th Street
POINT (-87.74770299900001 41.953581000999975),5443,MILWAUKEE,IRVING PARK/CICERO,SEB,NS,56,,CHICAGO,Milwaukee & Irving Park/Cicero
POINT (-87.755065 41.882266000000016),3865,LARAMIE,WASHINGTON,NB,NS,57,,CHICAGO,Laramie & Washington
POINT (-87.62587611700002 41.80580748800003),15756,STATE,4900 SOUTH,NB,MB,29,,CHICAGO,4900 S State
POINT (-87.65550299900002 41.99659200000002),1199,SHERIDAN,ROSEMONT,NB,FS,"136,147,151",,CHICAGO,Sheridan & Rosemont
POINT (-87.70230819300002 41.74964315599999),9998,KEDZIE,79TH STREET,NB,NS,52A,,CHICAGO,Kedzie & 79th Street
POINT (-87.69974580399997 41.895706206),636,CHICAGO,GRAND,WB,NS,"66,94",N66,CHICAGO,Chicago & Grand
POINT (-87.649696871 41.787019504),13060,59TH STREET,MORGAN,WB,NS,59,,CHICAGO,59th Street & Morgan
POINT (-87.72034522899997 41.804293246999976),4506,ARCHER,49TH ST./AVERS (west leg),SWB,NS,62,N62,CHICAGO,Archer & 49th Street/Avers
POINT (-87.697495645 41.92459441400001),17042,CALIFORNIA,FULLERTON,SB,FS,94,,CHICAGO,California & Fullerton
POINT (-87.71408558399997 41.99048259900002),11114,KIMBALL,PETERSON,SB,NS,82,,CHICAGO,Kimball & Peterson
POINT (-87.64634699999999 41.8399),5817,HALSTED,30TH STREET,SB,NT,8,,CHICAGO,Halsted & 30th Street
POINT (-87.545912676 41.648376332),14027,BRAINARD,BRANDON,SEB,FT,30,,CHICAGO,Brainard & Brandon
POINT (-87.76591662300001 41.99741072500001),11677,LEHIGH,DEVON,SEB,NS,85A,,CHICAGO,Lehigh & Devon
POINT (-87.725092921 41.86048758800001),15555,PULASKI,15TH STREET,SB,FS,53,,CHICAGO,Pulaski & 15th Street
POINT (-87.68112199900003 41.79390599999999),10610,GARFIELD,OAKLEY,WB,MT,55,N55,CHICAGO,Garfield & Oakley
POINT (-87.798156 41.85055799999998),6964,CERMAK,HOME,WB,NS,"21,322",,BERWYN,Cermak & Home
POINT (-87.77354384400002 41.85091605000002),6958,CERMAK,AUSTIN,WB,NS,"21,322",,CICERO,Cermak & Austin
POINT (-87.67009398300002 41.910683672000005),941,NORTH AVENUE,PAULINA,WB,NS,72,,CHICAGO,North Ave & Paulina
POINT (-87.70663944400002 42.011962063),12081,TOUHY,ALBANY,WB,NS,96,,CHICAGO,Touhy & Albany
POINT (-87.80737215300002 41.96137136599998),11769,HARLEM,AGATITE (south leg),SB,NS,90,,NORRIDGE,Harlem & Agatite
POINT (-87.774365907 41.871101925000005),9612,AUSTIN,BLUE LINE (FOREST PARK),SB,MB,91,,OAK PARK,Austin Blue Line Station
POINT (-87.711861999 41.91341700100003),11154,KIMBALL,BLOOMINGDALE,SB,FS,82,,CHICAGO,Kimball & Bloomingdale
POINT (-87.676849 41.88685099999998),8864,DAMEN,FULTON,SB,NS,50,,CHICAGO,Damen & Fulton
POINT (-87.76700708300001 41.974613870999974),9797,MILWAUKEE,FOSTER (south leg),SEB,NT,"85,85A",,CHICAGO,Milwaukee & Foster
POINT (-87.80470000000003 41.995799999999974),9901,NORTHWEST HWY,NEVA,NWB,NS,68,,CHICAGO,Northwest Hwy & Neva
POINT (-87.64387168600001 41.741593658),3686,HALSTED,84TH STREET,SB,NS,8A,,CHICAGO,Halsted & 84th Street
POINT (-87.65945200099998 41.84082018800001),4442,ARCHER,ARCH,NEB,NS,62,N62,CHICAGO,Archer & Arch
POINT (-87.69252569399998 41.82138706400002),4493,ARCHER,BRIGHTON,SWB,FT,62,N62,CHICAGO,Archer & Brighton
POINT (-87.701737105 41.71539974799998),10041,KEDZIE,98TH STREET,SB,NS,52A,,EVERGREEN PARK,Kedzie & 98th Street
POINT (-87.80893759399999 41.93789719900002),17655,BELMONT,OCTAVIA,EB,FS,77,N77,CHICAGO,Belmont & Octavia
POINT (-87.66117077500002 41.684760675999996),17659,115TH STREET,ASHLAND,EB,FS,115,,CHICAGO,115th Street & Ashland
POINT (-87.787670805 41.99034842100002),9538,NAGLE,PETERSON,SB,NS,86,,CHICAGO,Nagle & Peterson
POINT (-87.61852818699998 41.70730326099999),12291,103RD STREET,INDIANA,WB,NS,"34,106",,CHICAGO,103rd Street & Indiana
POINT (-87.67100318500002 41.93972449199998),9306,BELMONT,PAULINA,WB,NS,77,N77,CHICAGO,Belmont & Paulina
POINT (-87.698552 41.881102999999996),478,MADISON,FRANCISCO,WB,NS,20,N20,CHICAGO,Madison & Francisco
POINT (-87.57827893299998 41.75162126700002),2617,79TH STREET,BENNETT,WB,NS,79,N79,CHICAGO,79th Street & Bennett
POINT (-87.70173233499997 41.73536769200001),9518,87TH STREET,KEDZIE,WB,NS,87,,CHICAGO,87th Street & Kedzie
POINT (-87.592924101 41.780610513),3209,63RD STREET,KENWOOD,WB,NS,63,N63,CHICAGO,63rd Street & Kenwood
POINT (-87.64974970399999 41.85811003399999),6807,18TH STREET,SANGAMON,WB,NT,18,,CHICAGO,18th Street & Sangamon
POINT (-87.78360207600002 41.77770089799998),4676,63RD STREET,NATCHEZ,WB,NS,63W,,CHICAGO,63rd Street & Natchez
POINT (-87.67263099899998 41.917911000000004),4099,ARMITAGE,WOOD,WB,NS,73,,CHICAGO,Armitage & Wood
POINT (-87.759484219 41.953369950000024),5723,IRVING PARK,LOCKWOOD,WB,NS,80,,CHICAGO,Irving Park & Lockwood
POINT (-87.66006499899999 41.72135300100001),3469,95TH STREET,LAFLIN,WB,NS,"N9,95",N9,CHICAGO,95th Street & Laflin
POINT (-87.75615578399999 41.992428725000025),11510,CALDWELL,LENOX,NWB,NS,84,,CHICAGO,Caldwell & Lenox
POINT (-87.60572290699997 41.76622333500001),2574,COTTAGE GROVE,71ST STREET/SOUTH CHICAGO,SB,NS,4,,CHICAGO,Cottage Grove & 71st Street/South Chicago
POINT (-87.72354499900001 41.80429099999998),12846,PULASKI,49TH STREET,SB,NS,53A,,CHICAGO,Pulaski & 49th Street
POINT (-87.60653006500002 41.802335140000025),2553,COTTAGE GROVE,51ST STREET,SB,NS,4,N4,CHICAGO,Cottage Grove & 51st Street
POINT (-87.70533805600002 41.85161968800003),17416,KEDZIE,CERMAK,SB,FS,52,,CHICAGO,Kedzie & Cermak
POINT (-87.64465080100001 41.818776313),8018,EMERALD,ROOT,SB,FS,43,,CHICAGO,Emerald & Root
POINT (-87.72429013099998 41.82899926900001),17293,PULASKI,36TH STREET,SB,NS,53A,,CHICAGO,Pulaski & 36th Street
POINT (-87.664693989 42.01482403900002),1015,SHERIDAN,SHERWIN,SB,FS,147,0,CHICAGO,Sheridan & Sherwin
POINT (-87.61659074099998 41.80558710299999),2216,KING DRIVE,49TH STREET,SB,FS,3,,CHICAGO,King Drive & 49th Street
POINT (-87.72781208200001 41.957188239999994),17326,PULASKI,BERTEAU,SB,FS,53,,CHICAGO,Pulaski & Berteau
POINT (-87.623429826 41.83097454),7684,35TH STREET,MICHIGAN,EB,NS,35,,CHICAGO,35th Street & Michigan
POINT (-87.747327466 41.86578791199997),263,ROOSEVELT,49TH AVENUE,EB,NS,12,,CICERO,Roosevelt & 49th Avenue
POINT (-87.62776622899997 41.68517095499999),2949,115TH STREET,WENTWORTH,EB,NS,115,,CHICAGO,115th Street & Wentworth
POINT (-87.64253999900001 41.70128),3650,HALSTED,106TH STREET,NB,NS,"8A,108",,CHICAGO,Halsted & 106th Street
POINT (-87.67635136000001 41.87740941599998),111,DAMEN,JACKSON,NB,NS,50,,CHICAGO,Damen & Jackson
POINT (-87.606431999 41.80758800000001),2510,COTTAGE GROVE,48TH STREET,NB,NS,4,N4,CHICAGO,Cottage Grove & 48th Street
